Timestamp, Joint, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
0.111,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.111,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.111,Body_SpineLower,-0.019048,-0.010966,-0.009963,-0.211599,0.805957,-0.478885,0.276276
0.111,Hand_Thumb1,-0.036924,-0.025254,-0.015687,-0.245637,0.517006,-0.758493,0.311539
0.111,Body_SpineUpper,-0.058069,-0.047676,-0.014129,-0.258091,0.578184,-0.747455,0.201007
0.111,Body_Chest,-0.083278,-0.066886,-0.009209,-0.232216,0.520817,-0.750603,0.333798
0.111,Body_Neck,-0.091114,-0.006944,-0.022353,-0.366721,0.929209,-0.030968,-0.033587
0.111,Body_Head,-0.117348,-0.031403,-0.019288,-0.610836,0.790151,0.004175,-0.050232
0.111,Body_LeftShoulder,-0.123085,-0.053680,-0.017575,-0.664848,0.742702,0.005864,-0.079604
0.111,Body_LeftScapula,-0.090782,-0.002414,-0.001638,-0.370248,0.928396,0.016790,-0.026756
0.111,Body_LeftArmUpper,-0.120297,-0.030461,-0.000121,-0.644850,0.763043,0.035978,-0.025293
0.111,Body_LeftArmLower,-0.124665,-0.056241,-0.000325,-0.700406,0.707398,0.078696,-0.053168
0.111,Hand_Ring1,-0.084183,-0.006197,0.016577,-0.386188,0.918847,0.069293,-0.042155
0.111,Body_RightShoulder,-0.110024,-0.032681,0.017463,-0.646342,0.753360,0.118074,-0.027372
0.111,Hand_Ring3,-0.114134,-0.057407,0.014654,-0.735395,0.661299,0.147863,0.003744
0.111,Hand_Pinky0,-0.032340,-0.008941,0.021829,-0.018312,0.968042,0.207036,-0.140343
0.111,Body_RightArmLower,-0.073934,-0.012995,0.033271,-0.419168,0.894631,0.154399,-0.009755
0.111,Hand_Pinky2,-0.092840,-0.034951,0.030006,-0.639352,0.744182,0.192154,-0.022352
0.111,Body_LeftHandPalm,-0.096338,-0.053462,0.025910,-0.711163,0.665504,0.223553,0.037088
0.111,Hand_ThumbTip,-0.099090,-0.084057,-0.010323,-0.232216,0.520817,-0.750603,0.333798
0.111,Hand_IndexTip,-0.126202,-0.074522,-0.014842,-0.664848,0.742702,0.005864,-0.079604
0.111,Hand_MiddleTip,-0.125984,-0.079923,-0.000666,-0.700406,0.707398,0.078696,-0.053168
0.111,Body_LeftHandThumbDistal,-0.113684,-0.080079,0.010042,-0.735395,0.661299,0.147863,0.003744
0.111,Body_LeftHandThumbTip,-0.097216,-0.072859,0.018340,-0.711163,0.665504,0.223553,0.037088
0.244,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.244,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.244,Body_SpineLower,-0.019048,-0.010966,-0.009963,-0.210277,0.806205,-0.478329,0.277522
0.244,Hand_Thumb1,-0.036917,-0.025227,-0.015773,-0.245656,0.517375,-0.757473,0.313387
0.244,Body_SpineUpper,-0.057991,-0.047722,-0.014295,-0.257583,0.579004,-0.746215,0.203884
0.244,Body_Chest,-0.083142,-0.067049,-0.009538,-0.230602,0.521702,-0.748820,0.337519
0.244,Body_Neck,-0.091114,-0.006944,-0.022353,-0.366511,0.929308,-0.031187,-0.032928
0.244,Body_Head,-0.117363,-0.031392,-0.019327,-0.609504,0.791218,0.003713,-0.049663
0.244,Body_LeftShoulder,-0.123177,-0.053650,-0.017618,-0.663370,0.744082,0.005393,-0.079080
