Timestamp, Joint, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
0.067,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.067,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.067,Body_SpineLower,-0.018609,-0.010713,-0.009733,-0.186402,0.810330,-0.468108,0.299156
0.067,Hand_Thumb1,-0.035927,-0.024129,-0.016884,-0.183149,0.556172,-0.753763,0.298278
0.067,Body_SpineUpper,-0.058688,-0.043827,-0.018563,-0.189963,0.623551,-0.731359,0.200532
0.067,Body_Chest,-0.085240,-0.060441,-0.017692,-0.132916,0.564117,-0.729866,0.362494
0.067,Body_Neck,-0.089012,-0.006784,-0.021837,-0.325318,0.944576,-0.043068,0.009511
0.067,Body_Head,-0.116729,-0.028426,-0.021484,-0.603069,0.797382,-0.018771,-0.011741
0.067,Body_LeftShoulder,-0.122867,-0.050090,-0.020551,-0.683337,0.728596,-0.018510,-0.043088
0.067,Body_LeftScapula,-0.088688,-0.002358,-0.001600,-0.308301,0.950244,0.018778,-0.040427
0.067,Body_LeftArmUpper,-0.120795,-0.025740,0.000997,-0.541894,0.838570,0.040035,-0.039343
0.067,Body_LeftArmLower,-0.131258,-0.049037,0.001574,-0.583296,0.805527,0.083920,-0.062050
0.067,Hand_Ring1,-0.082241,-0.006054,0.016195,-0.420867,0.899160,0.087717,-0.081776
0.067,Body_RightShoulder,-0.105106,-0.033940,0.018842,-0.651140,0.742173,0.144989,-0.064614
0.067,Hand_Ring3,-0.108647,-0.058217,0.016553,-0.729971,0.659008,0.178505,-0.031429
0.067,Hand_Pinky0,-0.031594,-0.008734,0.021325,-0.018312,0.968042,0.207036,-0.140343
0.067,Body_RightArmLower,-0.072228,-0.012695,0.032504,-0.563759,0.799933,0.199114,-0.051351
0.067,Hand_Pinky2,-0.082457,-0.038969,0.028449,-0.730504,0.638877,0.232620,-0.063932
0.067,Body_LeftHandPalm,-0.081036,-0.057109,0.023586,-0.773176,0.572693,0.272234,-0.010527
