Timestamp, Joint, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
0.127,Body_Start,0.160027,0.939565,0.293579,0.599750,0.693268,0.191087,-0.350950
0.127,Body_Hips,0.160027,0.939565,0.293579,0.599750,0.693268,0.191087,-0.350950
0.127,Body_SpineLower,0.146017,0.957670,0.302270,0.331554,0.842695,-0.320094,-0.278349
0.127,Hand_Thumb1,0.131052,0.975310,0.308419,0.037625,0.777708,-0.554166,-0.294372
0.127,Body_SpineUpper,0.105255,0.987359,0.321450,0.048252,0.801207,-0.464111,-0.374621
0.127,Body_Chest,0.081995,1.001192,0.339530,0.009862,0.780204,-0.541147,-0.313600
0.127,Body_Neck,0.144216,1.018142,0.345421,0.329657,0.832883,0.305123,-0.323316
0.127,Body_Head,0.123264,1.030993,0.372442,0.125632,0.879458,0.396570,-0.231307
0.127,Body_LeftShoulder,0.103101,1.031871,0.384297,0.040606,0.874452,0.433362,-0.214201
0.127,Body_LeftScapula,0.154077,1.004444,0.358769,0.286867,0.842381,0.364966,-0.273684
0.127,Body_LeftArmUpper,0.125732,1.016166,0.386489,-0.248785,0.849069,0.465998,-0.005875
0.127,Body_LeftArmLower,0.102485,1.004811,0.380601,-0.525320,0.668025,0.504177,0.153581
0.127,Hand_Ring1,0.155357,0.986299,0.367155,0.294529,0.824136,0.413451,-0.251220
0.127,Body_RightShoulder,0.129056,0.996729,0.391854,-0.245181,0.820892,0.510037,0.076713
0.127,Hand_Ring3,0.106842,0.988430,0.382229,-0.558138,0.623553,0.455419,0.303739
0.127,Hand_Pinky0,0.155843,0.945376,0.333561,0.613730,0.593279,0.419109,-0.309360
0.127,Body_RightArmLower,0.153412,0.965995,0.372317,0.345628,0.788990,0.464056,-0.206611
0.127,Hand_Pinky2,0.133420,0.976457,0.391454,-0.188056,0.793555,0.562483,0.136084
0.127,Body_LeftHandPalm,0.115967,0.973614,0.383090,-0.476922,0.636715,0.460266,0.394074
0.127,Hand_ThumbTip,0.062977,1.010546,0.350166,0.009862,0.780204,-0.541147,-0.313600
0.127,Hand_IndexTip,0.083960,1.029795,0.394006,0.040606,0.874452,0.433362,-0.214201
0.127,Hand_MiddleTip,0.092004,0.991345,0.363625,-0.525320,0.668025,0.504177,0.153581
0.127,Body_LeftHandThumbDistal,0.100858,0.978320,0.361898,-0.558138,0.623553,0.455419,0.303739
0.127,Body_LeftHandThumbTip,0.109894,0.968821,0.363409,-0.476922,0.636715,0.460266,0.394074
0.264,Body_Start,0.160555,0.940137,0.293773,0.601343,0.689862,0.196234,-0.352093
0.264,Body_Hips,0.160555,0.940137,0.293773,0.601343,0.689862,0.196234,-0.352093
0.264,Body_SpineLower,0.146702,0.958298,0.302599,0.333537,0.843115,-0.314421,-0.281159
0.264,Hand_Thumb1,0.131876,0.975992,0.308927,0.039343,0.780174,-0.549102,-0.297098
0.264,Body_SpineUpper,0.106188,0.988131,0.322090,0.047510,0.803212,-0.457743,-0.378240
0.264,Body_Chest,0.083101,1.001884,0.340450,0.007884,0.783071,-0.534329,-0.318169
0.264,Body_Neck,0.145403,1.018407,0.346271,0.328028,0.831716,0.312062,-0.321348
0.264,Body_Head,0.124280,1.031013,0.373275,0.121393,0.878156,0.403529,-0.226431
0.264,Body_LeftShoulder,0.103963,1.031726,0.384876,0.036406,0.872771,0.439695,-0.208842
0.264,Body_LeftScapula,0.155113,1.004501,0.359515,0.294812,0.837487,0.368776,-0.275146
0.264,Body_LeftArmUpper,0.127216,1.016526,0.387558,-0.233565,0.851271,0.469809,-0.008019
0.264,Body_LeftArmLower,0.103581,1.005776,0.382097,-0.506419,0.679476,0.509086,0.150613
0.264,Hand_Ring1,0.156207,0.986273,0.367744,0.303343,0.818276,0.417279,-0.253549
0.264,Body_RightShoulder,0.130390,0.996970,0.392837,-0.228755,0.823113,0.514483,0.073909
0.264,Hand_Ring3,0.107755,0.989279,0.383699,-0.539095,0.636851,0.462122,0.300402
0.264,Hand_Pinky0,0.156360,0.945641,0.333797,0.614848,0.588786,0.423630,-0.309565
0.264,Body_RightArmLower,0.154062,0.965944,0.372727,0.351955,0.784454,0.466765,-0.207100
0.264,Hand_Pinky2,0.134343,0.976561,0.392061,-0.172384,0.795522,0.565595,0.132402
0.264,Body_LeftHandPalm,0.116630,0.974126,0.384126,-0.458375,0.648856,0.466651,0.388736
0.264,Hand_ThumbTip,0.064219,1.011191,0.351365,0.007884,0.783071,-0.534329,-0.318169
0.264,Hand_IndexTip,0.084700,1.029519,0.394310,0.036406,0.872771,0.439695,-0.208842
0.264,Hand_MiddleTip,0.092131,0.992631,0.365499,-0.506419,0.679476,0.509086,0.150613
0.264,Body_LeftHandThumbDistal,0.100708,0.979457,0.363568,-0.539095,0.636851,0.462122,0.300402
0.264,Body_LeftHandThumbTip,0.109666,0.969624,0.364672,-0.458375,0.648856,0.466651,0.388736
0.307,Body_Start,0.161125,0.940906,0.293119,0.604112,0.685886,0.192763,-0.357004
0.307,Body_Hips,0.161125,0.940906,0.293119,0.604112,0.685886,0.192763,-0.357004
0.307,Body_SpineLower,0.147482,0.959119,0.302162,0.340386,0.837532,-0.319078,-0.284373
0.307,Hand_Thumb1,0.132964,0.977110,0.308365,0.040377,0.779856,-0.551194,-0.293902
0.307,Body_SpineUpper,0.107163,0.989227,0.321325,0.055650,0.803166,-0.462764,-0.371048
0.307,Body_Chest,0.083780,1.003313,0.339047,0.021762,0.781484,-0.542373,-0.307639
0.307,Body_Neck,0.147086,1.019200,0.345891,0.340543,0.824795,0.307747,-0.330205
0.307,Body_Head,0.126996,1.032296,0.373444,0.136773,0.874433,0.401002,-0.236344
0.307,Body_LeftShoulder,0.107080,1.033458,0.385686,0.051402,0.870298,0.438577,-0.218149
0.307,Body_LeftScapula,0.156932,1.005243,0.358979,0.303844,0.832416,0.366791,-0.283243
0.307,Body_LeftArmUpper,0.129856,1.017566,0.387690,-0.221725,0.852714,0.472700,-0.016484
0.307,Body_LeftArmLower,0.105946,1.007119,0.382874,-0.492444,0.686967,0.514962,0.142790
0.307,Hand_Ring1,0.158070,0.987004,0.367179,0.315277,0.813179,0.413075,-0.262124
0.307,Body_RightShoulder,0.133141,0.998128,0.392973,-0.208736,0.828429,0.516206,0.060542
0.307,Hand_Ring3,0.109966,0.990876,0.384890,-0.518586,0.653858,0.470320,0.286945
0.307,Hand_Pinky0,0.157548,0.946397,0.333205,0.619105,0.585017,0.419926,-0.313251
0.307,Body_RightArmLower,0.155914,0.966680,0.372179,0.364522,0.778896,0.462126,-0.216530
0.307,Hand_Pinky2,0.136964,0.977560,0.392127,-0.152890,0.800019,0.567723,0.119516
0.307,Body_LeftHandPalm,0.118875,0.975429,0.384990,-0.437524,0.664850,0.475487,0.374780
0.307,Hand_ThumbTip,0.064631,1.012967,0.349168,0.021762,0.781484,-0.542373,-0.307639
0.307,Hand_IndexTip,0.088078,1.031642,0.395715,0.051402,0.870298,0.438577,-0.218149
0.307,Hand_MiddleTip,0.093734,0.994118,0.366711,-0.492444,0.686967,0.514962,0.142790
0.307,Body_LeftHandThumbDistal,0.101556,0.981116,0.365259,-0.518586,0.653858,0.470320,0.286945
0.307,Body_LeftHandThumbTip,0.110697,0.971092,0.365976,-0.437524,0.664850,0.475487,0.374780
0.328,Body_Start,0.161283,0.941099,0.293053,0.604668,0.684931,0.192977,-0.357780
0.328,Body_Hips,0.161283,0.941099,0.293053,0.604668,0.684931,0.192977,-0.357780
0.328,Body_SpineLower,0.147687,0.959325,0.302141,0.341409,0.836896,-0.318909,-0.285204
0.328,Hand_Thumb1,0.133225,0.977356,0.308356,0.040698,0.780093,-0.550781,-0.294006
0.328,Body_SpineUpper,0.107429,0.989486,0.321315,0.056506,0.803361,-0.462525,-0.370796
0.328,Body_Chest,0.084041,1.003604,0.339004,0.023123,0.781611,-0.542427,-0.307121
0.328,Body_Neck,0.147472,1.019354,0.345942,0.341864,0.823774,0.308098,-0.331062
0.328,Body_Head,0.127489,1.032476,0.373561,0.138147,0.873785,0.401574,-0.236970
0.328,Body_LeftShoulder,0.107605,1.033672,0.385851,0.052742,0.869758,0.439245,-0.218640
0.328,Body_LeftScapula,0.157315,1.005363,0.358998,0.305834,0.831181,0.367053,-0.284387
0.328,Body_LeftArmUpper,0.130394,1.017751,0.387825,-0.218548,0.853050,0.473528,-0.017707
0.328,Body_LeftArmLower,0.106412,1.007413,0.383135,-0.488581,0.689022,0.516232,0.141571
0.328,Hand_Ring1,0.158436,0.987112,0.367174,0.317666,0.811833,0.413084,-0.263397
0.328,Body_RightShoulder,0.133670,0.998311,0.393092,-0.204546,0.829149,0.516938,0.058725
0.328,Hand_Ring3,0.110395,0.991183,0.385188,-0.513977,0.657113,0.471989,0.285056
0.328,Hand_Pinky0,0.157784,0.946548,0.333152,0.619792,0.583949,0.420028,-0.313749
0.328,Body_RightArmLower,0.156251,0.966787,0.372152,0.366726,0.777645,0.461943,-0.217690
0.328,Hand_Pinky2,0.137427,0.977711,0.392194,-0.148830,0.800630,0.568329,0.117661
0.328,Body_LeftHandPalm,0.119273,0.975666,0.385199,-0.432930,0.667871,0.477163,0.372608
0.328,Hand_ThumbTip,0.064883,1.013295,0.349072,0.023123,0.781611,-0.542427,-0.307121
0.328,Hand_IndexTip,0.088621,1.031888,0.395920,0.052742,0.869758,0.439245,-0.218640
0.328,Hand_MiddleTip,0.094005,0.994475,0.367070,-0.488581,0.689022,0.516232,0.141571
0.328,Body_LeftHandThumbDistal,0.101717,0.981476,0.365648,-0.513977,0.657113,0.471989,0.285056
0.328,Body_LeftHandThumbTip,0.110863,0.971391,0.366273,-0.432930,0.667871,0.477163,0.372608
0.338,Body_Start,0.161282,0.941098,0.293053,0.604667,0.684932,0.192978,-0.357780
0.338,Body_Hips,0.161282,0.941098,0.293053,0.604667,0.684932,0.192978,-0.357780
0.338,Body_SpineLower,0.147687,0.959324,0.302141,0.341408,0.836897,-0.318908,-0.285205
0.338,Hand_Thumb1,0.133225,0.977356,0.308356,0.040696,0.780093,-0.550781,-0.294005
0.338,Body_SpineUpper,0.107429,0.989485,0.321316,0.056508,0.803361,-0.462526,-0.370793
0.338,Body_Chest,0.084040,1.003603,0.339004,0.023124,0.781611,-0.542428,-0.307118
0.338,Body_Neck,0.147471,1.019353,0.345942,0.341855,0.823777,0.308101,-0.331060
0.338,Body_Head,0.127488,1.032475,0.373561,0.138134,0.873786,0.401577,-0.236966
0.338,Body_LeftShoulder,0.107603,1.033670,0.385851,0.052727,0.869758,0.439248,-0.218635
0.338,Body_LeftScapula,0.157315,1.005363,0.358998,0.305829,0.831183,0.367055,-0.284385
