Timestamp, Joint, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
0.083,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.083,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.083,Body_SpineLower,-0.019254,-0.011085,-0.010071,-0.118118,0.818864,-0.437310,0.352519
0.083,Hand_Thumb1,-0.036506,-0.023048,-0.021372,-0.173304,0.570957,-0.705256,0.382869
0.083,Body_SpineUpper,-0.056680,-0.046067,-0.027385,-0.267336,0.605467,-0.722241,0.200770
0.083,Body_Chest,-0.081853,-0.065964,-0.022747,-0.363226,0.495766,-0.773753,0.153587
0.083,Body_Neck,-0.092097,-0.007019,-0.022594,0.021737,0.999320,-0.029027,-0.006713
0.083,Body_Head,-0.128447,-0.005424,-0.022152,-0.452948,0.891435,0.002672,-0.013220
0.083,Body_LeftShoulder,-0.142188,-0.024255,-0.021659,-0.656756,0.753015,0.011498,-0.038846
0.083,Body_LeftScapula,-0.091762,-0.002440,-0.001656,-0.052133,0.994513,0.009366,-0.090214
0.083,Body_LeftArmUpper,-0.132051,-0.006780,0.005694,-0.580288,0.808481,0.069640,-0.069099
0.083,Body_LeftArmLower,-0.140429,-0.031834,0.006511,-0.789965,0.589184,0.151944,-0.075708
0.083,Hand_Ring1,-0.085092,-0.006264,0.016756,-0.238464,0.958682,0.078429,-0.133837
0.083,Body_RightShoulder,-0.116909,-0.024155,0.024957,-0.729385,0.656067,0.184119,-0.060618
0.083,Hand_Ring3,-0.115090,-0.049124,0.020137,-0.907161,0.353149,0.228460,0.012243
0.083,Hand_Pinky0,-0.032690,-0.009037,0.022065,-0.018312,0.968042,0.207036,-0.140343
0.083,Body_RightArmLower,-0.074732,-0.013135,0.033630,-0.408908,0.874975,0.205900,-0.157541
0.083,Hand_Pinky2,-0.092886,-0.036137,0.036793,-0.686961,0.651883,0.296371,-0.123680
0.083,Body_LeftHandPalm,-0.093384,-0.055018,0.032000,-0.800479,0.487479,0.348012,-0.022031
0.083,Hand_ThumbTip,-0.098687,-0.080101,-0.014102,-0.363226,0.495766,-0.773753,0.153587
0.083,Hand_IndexTip,-0.146021,-0.045351,-0.020378,-0.656756,0.753015,0.011498,-0.038846
0.083,Hand_MiddleTip,-0.135106,-0.055019,0.003503,-0.789965,0.589184,0.151944,-0.075708
0.083,Body_LeftHandThumbDistal,-0.100906,-0.065149,0.010698,-0.907161,0.353149,0.228460,0.012243
0.083,Body_LeftHandThumbTip,-0.088472,-0.072294,0.020992,-0.800479,0.487479,0.348012,-0.022031
0.248,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.248,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
