Timestamp, Joint, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
0.101,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.101,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.101,Body_SpineLower,-0.019316,-0.011120,-0.010103,-0.129579,0.817746,-0.442630,0.344355
0.101,Hand_Thumb1,-0.036760,-0.023481,-0.020830,-0.144940,0.588256,-0.718099,0.342463
0.101,Body_SpineUpper,-0.059398,-0.044209,-0.026924,-0.203260,0.641859,-0.711716,0.200404
0.101,Body_Chest,-0.086622,-0.061973,-0.025881,-0.286376,0.548389,-0.765510,0.176782
0.101,Body_Neck,-0.092393,-0.007042,-0.022667,-0.020617,0.998591,-0.031051,-0.037782
0.101,Body_Head,-0.128762,-0.008459,-0.019866,-0.550608,0.833532,0.018698,-0.041301
0.101,Body_LeftShoulder,-0.137891,-0.029966,-0.018737,-0.758547,0.647943,0.032381,-0.061057
0.101,Body_LeftScapula,-0.092057,-0.002448,-0.001661,-0.066397,0.992674,0.010803,-0.100369
0.101,Body_LeftArmUpper,-0.132176,-0.007984,0.006513,-0.648523,0.753405,0.081950,-0.071299
0.101,Body_LeftArmLower,-0.136118,-0.034205,0.006543,-0.854020,0.487199,0.165412,-0.076989
0.101,Hand_Ring1,-0.085365,-0.006284,0.016810,-0.266302,0.950899,0.082672,-0.134311
0.101,Body_RightShoulder,-0.116220,-0.026126,0.024744,-0.765999,0.611634,0.190094,-0.054899
0.101,Hand_Ring3,-0.111628,-0.050625,0.019013,-0.925790,0.297826,0.232159,0.017739
0.101,Hand_Pinky0,-0.032795,-0.009066,0.022135,-0.018312,0.968042,0.207036,-0.140343
0.101,Body_RightArmLower,-0.074972,-0.013177,0.033738,-0.473253,0.846260,0.211556,-0.122966
0.101,Hand_Pinky2,-0.090401,-0.038399,0.033972,-0.745702,0.594460,0.287048,-0.090276
0.101,Body_LeftHandPalm,-0.087890,-0.056744,0.027701,-0.848950,0.409077,0.334468,0.008411
0.101,Hand_ThumbTip,-0.105380,-0.075669,-0.021174,-0.286376,0.548389,-0.765510,0.176782
0.101,Hand_IndexTip,-0.135414,-0.051346,-0.017676,-0.758547,0.647943,0.032381,-0.061057
0.101,Hand_MiddleTip,-0.125589,-0.055382,0.002154,-0.854020,0.487199,0.165412,-0.076989
0.101,Body_LeftHandThumbDistal,-0.095655,-0.064658,0.009086,-0.925790,0.297826,0.232159,0.017739
0.101,Body_LeftHandThumbTip,-0.079526,-0.071991,0.015693,-0.848950,0.409077,0.334468,0.008411
0.276,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.276,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.276,Body_SpineLower,-0.019316,-0.011120,-0.010103,-0.109740,0.819606,-0.433385,0.358302
0.276,Hand_Thumb1,-0.036518,-0.022852,-0.021876,-0.124968,0.601740,-0.706292,0.351347
0.276,Body_SpineUpper,-0.059107,-0.043089,-0.029584,-0.179505,0.659811,-0.695985,0.219163
0.276,Body_Chest,-0.086412,-0.060716,-0.030864,-0.243728,0.574825,-0.749402,0.220384
0.276,Body_Neck,-0.092393,-0.007042,-0.022667,-0.044730,0.996411,-0.031072,-0.064797
0.276,Body_Head,-0.128445,-0.010149,-0.017852,-0.559571,0.825579,0.032520,-0.065137
0.276,Body_LeftShoulder,-0.136989,-0.031860,-0.016187,-0.766332,0.635316,0.052069,-0.079981
0.276,Body_LeftScapula,-0.092057,-0.002448,-0.001661,-0.187488,0.977058,0.022388,-0.098515
