Timestamp, Joint, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
0.075,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.075,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.075,Body_SpineLower,-0.019054,-0.010970,-0.009966,-0.137040,0.816952,-0.446062,0.338878
0.075,Hand_Thumb1,-0.036344,-0.023386,-0.020146,-0.159846,0.578727,-0.721315,0.345297
0.075,Body_SpineUpper,-0.058274,-0.044474,-0.025364,-0.158494,0.652969,-0.691002,0.266509
0.075,Body_Chest,-0.084189,-0.062932,-0.029503,-0.116457,0.585290,-0.701103,0.390293
0.075,Body_Neck,-0.091141,-0.006946,-0.022360,-0.150001,0.988097,-0.033142,-0.008119
0.075,Body_Head,-0.125525,-0.017601,-0.021424,-0.623473,0.781569,0.001030,-0.020738
0.075,Body_LeftShoulder,-0.130641,-0.040090,-0.020705,-0.811133,0.582968,0.007169,-0.046486
0.075,Body_LeftScapula,-0.090809,-0.002415,-0.001639,-0.218124,0.972227,0.022459,-0.081802
0.075,Body_LeftArmUpper,-0.127142,-0.019850,0.004445,-0.770304,0.630492,0.081366,-0.049902
0.075,Body_LeftArmLower,-0.122127,-0.045469,0.002812,-0.937597,0.305154,0.153039,-0.066127
0.075,Hand_Ring1,-0.084208,-0.006199,0.016582,-0.389061,0.908868,0.096166,-0.115506
0.075,Body_RightShoulder,-0.109036,-0.033205,0.021585,-0.879461,0.434143,0.193685,-0.023535
0.075,Hand_Ring3,-0.095210,-0.052701,0.013506,-0.973758,0.018260,0.220892,0.051662
0.075,Hand_Pinky0,-0.032350,-0.008943,0.021835,-0.018312,0.968042,0.207036,-0.140343
0.075,Body_RightArmLower,-0.073956,-0.012999,0.033281,-0.534984,0.807658,0.223100,-0.108202
0.075,Hand_Pinky2,-0.085745,-0.039612,0.031417,-0.858178,0.415155,0.299471,-0.038663
0.075,Body_LeftHandPalm,-0.076567,-0.053799,0.022124,-0.933548,0.100404,0.333127,0.086223
0.075,Hand_ThumbTip,-0.099784,-0.078438,-0.037429,-0.116457,0.585290,-0.701103,0.390293
0.075,Hand_IndexTip,-0.124744,-0.060473,-0.019441,-0.811133,0.582968,0.007169,-0.046486
0.075,Hand_MiddleTip,-0.104449,-0.060372,-0.002522,-0.937597,0.305154,0.153039,-0.066127
0.075,Body_LeftHandThumbDistal,-0.074367,-0.054540,0.003605,-0.973758,0.018260,0.220892,0.051662
0.075,Body_LeftHandThumbTip,-0.061217,-0.057566,0.008530,-0.933548,0.100404,0.333127,0.086223
0.227,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.227,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.227,Body_SpineLower,-0.019054,-0.010970,-0.009966,-0.141652,0.816435,-0.448170,0.335428
0.227,Hand_Thumb1,-0.036393,-0.023522,-0.019893,-0.169821,0.572371,-0.723027,0.347541
0.227,Body_SpineUpper,-0.058025,-0.045036,-0.024594,-0.163076,0.648368,-0.691379,0.273898
0.227,Body_Chest,-0.083588,-0.063972,-0.028754,-0.118869,0.580857,-0.698910,0.400001
0.227,Body_Neck,-0.091141,-0.006946,-0.022360,-0.125881,0.991486,-0.032633,-0.006633
0.227,Body_Head,-0.126006,-0.015919,-0.021590,-0.592100,0.805650,0.000394,-0.018599
0.227,Body_LeftShoulder,-0.132886,-0.037934,-0.020909,-0.783905,0.619232,0.006854,-0.044694
0.227,Body_LeftScapula,-0.090809,-0.002415,-0.001639,-0.201507,0.975721,0.021300,-0.083120
0.227,Body_LeftArmUpper,-0.127692,-0.018585,0.004622,-0.745540,0.659494,0.080115,-0.053109
0.227,Body_LeftArmLower,-0.124624,-0.044529,0.003330,-0.920892,0.351728,0.153705,-0.067968
0.227,Hand_Ring1,-0.084208,-0.006199,0.016582,-0.382690,0.911546,0.095443,-0.116290
0.227,Body_RightShoulder,-0.109386,-0.032852,0.021727,-0.874307,0.444439,0.193474,-0.025087
0.227,Hand_Ring3,-0.096012,-0.052704,0.013754,-0.973349,0.031325,0.221529,0.050360
0.227,Hand_Pinky0,-0.032350,-0.008943,0.021835,-0.018312,0.968042,0.207036,-0.140343
0.227,Body_RightArmLower,-0.073956,-0.012999,0.033281,-0.524236,0.814035,0.222660,-0.113779
0.227,Hand_Pinky2,-0.086336,-0.039370,0.031875,-0.850350,0.428459,0.302347,-0.043763
0.227,Body_LeftHandPalm,-0.077658,-0.053932,0.022682,-0.930011,0.120351,0.337547,0.081590
0.227,Hand_ThumbTip,-0.098795,-0.079799,-0.036798,-0.118869,0.580857,-0.698910,0.400001
0.227,Hand_IndexTip,-0.128864,-0.058766,-0.019606,-0.783905,0.619232,0.006854,-0.044694
0.227,Hand_MiddleTip,-0.108486,-0.061176,-0.001718,-0.920892,0.351728,0.153705,-0.067968
0.227,Body_LeftHandThumbDistal,-0.075251,-0.055140,0.003812,-0.973349,0.031325,0.221529,0.050360
0.227,Body_LeftHandThumbTip,-0.062655,-0.058496,0.008947,-0.930011,0.120351,0.337547,0.081590
0.259,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.259,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.259,Body_SpineLower,-0.019054,-0.010970,-0.009966,-0.148380,0.815646,-0.451230,0.330299
0.259,Hand_Thumb1,-0.036462,-0.023714,-0.019520,-0.185186,0.562593,-0.725128,0.351261
0.259,Body_SpineUpper,-0.057596,-0.045871,-0.023430,-0.179401,0.638271,-0.696010,0.275675
