Timestamp, Joint, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
0.067,Body_Start,0.237943,0.914537,0.325317,-0.814775,-0.410912,-0.348934,0.213396
0.067,Body_Hips,0.237943,0.914537,0.325317,-0.814775,-0.410912,-0.348934,0.213396
0.067,Body_SpineLower,0.240964,0.937832,0.333817,-0.570867,-0.724765,0.100733,0.372397
0.067,Hand_Thumb1,0.239234,0.959868,0.344189,-0.306206,-0.699252,0.306407,0.568682
0.067,Body_SpineUpper,0.233942,0.984680,0.363600,-0.297132,-0.713816,0.167971,0.611527
0.067,Body_Chest,0.231435,1.005584,0.389272,-0.308323,-0.700856,0.313364,0.561731
0.067,Body_Neck,0.280656,0.982432,0.380528,-0.590710,-0.670106,-0.433944,0.117101
0.067,Body_Head,0.270420,1.008145,0.405479,-0.291205,-0.834881,-0.460761,-0.076637
0.067,Body_LeftShoulder,0.250872,1.021442,0.408832,-0.152999,-0.862251,-0.465253,-0.129050
0.067,Body_LeftScapula,0.275919,0.965969,0.394254,-0.557421,-0.694693,-0.452361,0.045302
0.067,Body_LeftArmUpper,0.260126,0.996904,0.418178,-0.327994,-0.822335,-0.454828,-0.096527
0.067,Body_LeftArmLower,0.239387,1.013882,0.421957,-0.273320,-0.816983,-0.487587,-0.141753
0.067,Hand_Ring1,0.262438,0.952686,0.401957,-0.542564,-0.677426,-0.496706,-0.001421
0.067,Body_RightShoulder,0.246682,0.980904,0.422534,-0.318307,-0.788430,-0.496023,-0.176128
0.067,Hand_Ring3,0.227484,0.998570,0.423527,-0.227491,-0.811793,-0.468092,-0.264822
0.067,Hand_Pinky0,0.235502,0.922917,0.365823,-0.776422,-0.310510,-0.541112,0.089167
0.067,Body_RightArmLower,0.245440,0.940217,0.405993,-0.569335,-0.624570,-0.530280,-0.067631
0.067,Hand_Pinky2,0.235101,0.963847,0.421667,-0.346726,-0.728285,-0.543437,-0.232507
0.067,Body_LeftHandPalm,0.222101,0.978968,0.422429,-0.289139,-0.750990,-0.495534,-0.326892
0.067,Hand_ThumbTip,0.227842,1.025211,0.402947,-0.308323,-0.700856,0.313364,0.561731
0.067,Hand_IndexTip,0.230700,1.030180,0.408073,-0.152999,-0.862251,-0.465253,-0.129050
0.067,Hand_MiddleTip,0.219703,1.028427,0.423937,-0.273320,-0.816983,-0.487587,-0.141753
0.067,Body_LeftHandThumbDistal,0.209439,1.013885,0.419839,-0.227491,-0.811793,-0.468092,-0.264822
0.067,Body_LeftHandThumbTip,0.209087,0.995842,0.419070,-0.289139,-0.750990,-0.495534,-0.326892
0.220,Body_Start,0.237852,0.914736,0.325394,-0.814183,-0.410843,-0.348608,0.216300
0.220,Body_Hips,0.237852,0.914736,0.325394,-0.814183,-0.410843,-0.348608,0.216300
0.220,Body_SpineLower,0.240836,0.937997,0.333997,-0.568038,-0.725886,0.099532,0.374856
0.220,Hand_Thumb1,0.239038,0.959955,0.344524,-0.303649,-0.698023,0.304321,0.572670
0.220,Body_SpineUpper,0.233937,0.984630,0.364158,-0.294603,-0.712043,0.165509,0.615476
0.220,Body_Chest,0.231653,1.005323,0.390021,-0.305093,-0.700051,0.310680,0.565973
0.220,Body_Neck,0.280533,0.982476,0.380819,-0.592832,-0.668998,-0.431785,0.120640
0.220,Body_Head,0.270547,1.008151,0.405911,-0.295795,-0.833992,-0.460284,-0.071424
0.220,Body_LeftShoulder,0.251091,1.021502,0.409568,-0.160061,-0.861484,-0.466019,-0.122689
0.220,Body_LeftScapula,0.275873,0.965936,0.394479,-0.560680,-0.691359,-0.452899,0.050442
0.220,Body_LeftArmUpper,0.260429,0.996705,0.418840,-0.334221,-0.819260,-0.457043,-0.090666
0.220,Body_LeftArmLower,0.239854,1.013771,0.423088,-0.282798,-0.813411,-0.490175,-0.134601
0.220,Hand_Ring1,0.262445,0.952582,0.402153,-0.539922,-0.678672,-0.497884,-0.000310
0.220,Body_RightShoulder,0.246470,0.980672,0.422735,-0.310244,-0.790776,-0.496498,-0.178642
0.220,Hand_Ring3,0.227054,0.998113,0.423402,-0.218027,-0.813261,-0.468220,-0.268032
0.220,Hand_Pinky0,0.235493,0.922917,0.365946,-0.776497,-0.310092,-0.540752,0.092097
0.220,Body_RightArmLower,0.245490,0.940050,0.406172,-0.562055,-0.631613,-0.529130,-0.071977
0.220,Hand_Pinky2,0.234690,0.963779,0.421380,-0.332896,-0.735079,-0.540054,-0.239128
0.220,Body_LeftHandPalm,0.221439,0.978699,0.421540,-0.272531,-0.756492,-0.491339,-0.334713
0.220,Hand_ThumbTip,0.228192,1.024825,0.403908,-0.305093,-0.700051,0.310680,0.565973
0.220,Hand_IndexTip,0.230965,1.030370,0.409205,-0.160061,-0.861484,-0.466019,-0.122689
0.220,Hand_MiddleTip,0.220354,1.028475,0.425640,-0.282798,-0.813411,-0.490175,-0.134601
0.220,Body_LeftHandThumbDistal,0.208862,1.013161,0.419356,-0.218027,-0.813261,-0.468220,-0.268032
0.220,Body_LeftHandThumbTip,0.208213,0.995241,0.417436,-0.272531,-0.756492,-0.491339,-0.334713
0.254,Body_Start,0.238559,0.914478,0.325352,-0.814943,-0.412214,-0.348758,0.210512
0.254,Body_Hips,0.238559,0.914478,0.325352,-0.814943,-0.412214,-0.348758,0.210512
0.254,Body_SpineLower,0.241558,0.937821,0.333723,-0.570952,-0.725740,0.101303,0.370206
0.254,Hand_Thumb1,0.239753,0.959888,0.344020,-0.308317,-0.697104,0.306171,0.570303
0.254,Body_SpineUpper,0.234662,0.984774,0.363388,-0.300438,-0.711453,0.168276,0.612581
0.254,Body_Chest,0.232372,1.005813,0.388970,-0.310976,-0.698335,0.313574,0.563288
0.254,Body_Neck,0.281130,0.982696,0.380274,-0.592150,-0.671675,-0.430184,0.114685
0.254,Body_Head,0.270980,1.008660,0.404999,-0.293024,-0.836563,-0.456507,-0.076823
0.254,Body_LeftShoulder,0.251484,1.022041,0.408318,-0.156821,-0.863841,-0.461460,-0.127443
0.254,Body_LeftScapula,0.276359,0.966312,0.394084,-0.562768,-0.691369,-0.450704,0.046561
0.254,Body_LeftArmUpper,0.261081,0.997361,0.418194,-0.335240,-0.820290,-0.453708,-0.094275
0.254,Body_LeftArmLower,0.240579,1.014563,0.422241,-0.282764,-0.814882,-0.486633,-0.138562
0.254,Hand_Ring1,0.262860,0.953074,0.401830,-0.538247,-0.681370,-0.495969,-0.006302
0.254,Body_RightShoulder,0.246749,0.981415,0.421957,-0.303390,-0.794408,-0.492089,-0.186332
0.254,Hand_Ring3,0.227260,0.998788,0.422023,-0.208697,-0.816180,-0.462624,-0.276179
0.254,Hand_Pinky0,0.236016,0.923093,0.365802,-0.775989,-0.312214,-0.541182,0.086527
0.254,Body_RightArmLower,0.245852,0.940627,0.405895,-0.555850,-0.638369,-0.526107,-0.082018
0.254,Hand_Pinky2,0.234727,0.964652,0.420387,-0.322056,-0.741167,-0.533803,-0.249009
0.254,Body_LeftHandPalm,0.221386,0.979483,0.419883,-0.259888,-0.761075,-0.484168,-0.344681
0.254,Hand_ThumbTip,0.228945,1.025514,0.402582,-0.310976,-0.698335,0.313574,0.563288
0.254,Hand_IndexTip,0.231355,1.030887,0.407660,-0.156821,-0.863841,-0.461460,-0.127443
0.254,Hand_MiddleTip,0.221128,1.029367,0.424574,-0.282764,-0.814882,-0.486633,-0.138562
0.254,Body_LeftHandThumbDistal,0.209059,1.013641,0.417345,-0.208697,-0.816180,-0.462624,-0.276179
0.254,Body_LeftHandThumbTip,0.208136,0.995801,0.415026,-0.259888,-0.761075,-0.484168,-0.344681
0.274,Body_Start,0.238608,0.914634,0.325501,-0.814692,-0.412495,-0.349195,0.210210
0.274,Body_Hips,0.238608,0.914634,0.325501,-0.814692,-0.412495,-0.349195,0.210210
0.274,Body_SpineLower,0.241590,0.937981,0.333871,-0.570078,-0.726665,0.100416,0.369981
0.274,Hand_Thumb1,0.239728,0.960025,0.344205,-0.307137,-0.698038,0.306080,0.569847
0.274,Body_SpineUpper,0.234557,0.984865,0.363612,-0.299206,-0.712250,0.168283,0.612256
0.274,Body_Chest,0.232192,1.005857,0.389225,-0.309205,-0.699577,0.312892,0.563102
0.274,Body_Neck,0.281092,0.982876,0.380461,-0.592446,-0.672008,-0.429368,0.114265
0.274,Body_Head,0.270960,1.008890,0.405141,-0.294723,-0.836450,-0.455747,-0.076054
0.274,Body_LeftShoulder,0.251506,1.022318,0.408518,-0.159458,-0.863792,-0.461011,-0.126120
0.274,Body_LeftScapula,0.276308,0.966494,0.394269,-0.564995,-0.689390,-0.450818,0.047812
0.274,Body_LeftArmUpper,0.261252,0.997531,0.418534,-0.339617,-0.818368,-0.454344,-0.092225
0.274,Body_LeftArmLower,0.240889,1.014845,0.422801,-0.288610,-0.812825,-0.487372,-0.135976
0.274,Hand_Ring1,0.262802,0.953254,0.402001,-0.537870,-0.681303,-0.496467,-0.006631
0.274,Body_RightShoulder,0.246660,0.981586,0.422117,-0.300907,-0.794983,-0.492005,-0.188118
0.274,Hand_Ring3,0.227128,0.998910,0.422038,-0.205347,-0.816532,-0.462183,-0.278381
0.274,Hand_Pinky0,0.236011,0.923258,0.365946,-0.775616,-0.312433,-0.541622,0.086317
0.274,Body_RightArmLower,0.245793,0.940804,0.406047,-0.553633,-0.640642,-0.525314,-0.084341
0.274,Hand_Pinky2,0.234542,0.964889,0.420342,-0.317079,-0.743609,-0.531844,-0.252287
0.274,Body_LeftHandPalm,0.221139,0.979654,0.419585,-0.253375,-0.763116,-0.481601,-0.348591
0.274,Hand_ThumbTip,0.228700,1.025500,0.402904,-0.309205,-0.699577,0.312892,0.563102
0.274,Hand_IndexTip,0.231405,1.031234,0.407961,-0.159458,-0.863792,-0.461011,-0.126120
0.274,Hand_MiddleTip,0.221578,1.029788,0.425401,-0.288610,-0.812825,-0.487372,-0.135976
0.274,Body_LeftHandThumbDistal,0.208908,1.013684,0.417189,-0.205347,-0.816532,-0.462183,-0.278381
0.274,Body_LeftHandThumbTip,0.207850,0.995837,0.414400,-0.253375,-0.763116,-0.481601,-0.348591
0.285,Body_Start,0.238628,0.914684,0.325554,-0.814617,-0.412591,-0.349343,0.210065
0.285,Body_Hips,0.238628,0.914684,0.325554,-0.814617,-0.412591,-0.349343,0.210065
0.285,Body_SpineLower,0.241605,0.938032,0.333922,-0.569826,-0.726958,0.100141,0.369870
0.285,Hand_Thumb1,0.239725,0.960069,0.344266,-0.306804,-0.698333,0.306062,0.569675
