Timestamp,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0.068,Body_Start,0.131796,0.915519,0.416245,-0.728694,-0.382304,-0.548444,0.148523
0.068,Body_Hips,0.131796,0.915519,0.416245,-0.728694,-0.382304,-0.548444,0.148523
0.068,Body_SpineLower,0.132802,0.937731,0.428479,-0.597802,-0.758371,-0.083336,0.246092
0.068,Hand_Thumb1,0.128729,0.959206,0.44021,-0.377923,-0.788747,0.149207,0.461292
0.068,Body_SpineUpper,0.119358,0.98302,0.460165,-0.331747,-0.8067,0.007194,0.489008
0.068,Body_Chest,0.109184,1.001312,0.486617,-0.337593,-0.811499,0.126325,0.459938
0.068,Body_Neck,0.152823,0.973088,0.493903,-0.518802,-0.579807,-0.627943,0.018871
0.068,Body_Head,0.135372,0.994966,0.519397,-0.236412,-0.725891,-0.592377,-0.257451
0.068,Body_LeftShoulder,0.117041,1.010691,0.517125,-0.082162,-0.752246,-0.552968,-0.348716
0.068,Body_LeftScapula,0.141279,0.955938,0.502269,-0.532547,-0.557462,-0.636623,-0.018473
0.068,Body_LeftArmUpper,0.122764,0.982387,0.53044,-0.230445,-0.727528,-0.568957,-0.306409
0.068,Body_LeftArmLower,0.10335,1.001195,0.525391,-0.081175,-0.71905,-0.545922,-0.422313
0.068,Hand_Ring1,0.124542,0.943663,0.501914,-0.521299,-0.534454,-0.662709,-0.058515
0.068,Body_RightShoulder,0.10704,0.968371,0.526373,-0.271169,-0.669043,-0.601029,-0.342949
0.068,Hand_Ring3,0.090656,0.98893,0.522847,-0.127113,-0.693186,-0.510767,-0.492395
0.068,Hand_Pinky0,0.112892,0.920572,0.453517,-0.652185,-0.249038,-0.715054,0.036521
0.068,Body_RightArmLower,0.106212,0.932995,0.496845,-0.526512,-0.483769,-0.688176,-0.123155
0.068,Hand_Pinky2,0.093479,0.953813,0.515412,-0.328654,-0.577956,-0.663807,-0.342511
0.068,Body_LeftHandPalm,0.082342,0.970734,0.516231,-0.257296,-0.60921,-0.578166,-0.477898
0.068,Hand_ThumbTip,0.101617,1.018301,0.502682,-0.337593,-0.811499,0.126325,0.459938
0.068,Hand_IndexTip,0.099999,1.022214,0.508395,-0.082162,-0.752246,-0.552968,-0.348716
0.068,Hand_MiddleTip,0.087043,1.015817,0.513449,-0.081175,-0.71905,-0.545922,-0.422313
0.068,Body_LeftHandThumbDistal,0.0782,1.005988,0.510761,-0.127113,-0.693186,-0.510767,-0.492395
0.068,Body_LeftHandThumbTip,0.073279,0.99004,0.511185,-0.257296,-0.60921,-0.578166,-0.477898
0.204,Body_Start,0.1333,0.914756,0.41719,-0.731552,-0.384646,-0.542391,0.150633
0.204,Body_Hips,0.1333,0.914756,0.41719,-0.731552,-0.384646,-0.542391,0.150633
0.204,Body_SpineLower,0.134344,0.937034,0.429301,-0.596958,-0.758536,-0.076917,0.249698
0.204,Hand_Thumb1,0.13031,0.958546,0.440976,-0.375926,-0.786669,0.155118,0.464511
0.204,Body_SpineUpper,0.121035,0.982417,0.460908,-0.324379,-0.807149,0.009705,0.493148
0.204,Body_Chest,0.110809,1.000403,0.487549,-0.325925,-0.814152,0.125969,0.463747
0.204,Body_Neck,0.155015,0.972823,0.494286,-0.514895,-0.578958,-0.631726,0.024772
0.204,Body_Head,0.137278,0.994209,0.519999,-0.233463,-0.723404,-0.598281,-0.253457
0.204,Body_LeftShoulder,0.11878,1.00976,0.51788,-0.080504,-0.748967,-0.559805,-0.345233
0.204,Body_LeftScapula,0.143672,0.955655,0.502885,-0.519859,-0.569932,-0.635761,-0.027049
0.204,Body_LeftArmUpper,0.124046,0.982519,0.529886,-0.239262,-0.725108,-0.575244,-0.293371
0.204,Body_LeftArmLower,0.10443,1.001341,0.525757,-0.117643,-0.716224,-0.565853,-0.391144
0.204,Hand_Ring1,0.126998,0.943289,0.502806,-0.505185,-0.552966,-0.658378,-0.074525
0.204,Body_RightShoulder,0.108374,0.968856,0.52549,-0.287078,-0.665169,-0.610045,-0.320906
0.204,Hand_Ring3,0.091685,0.989371,0.523457,-0.174229,-0.688569,-0.540933,-0.450453
0.204,Hand_Pinky0,0.114851,0.919895,0.454678,-0.656195,-0.252315,-0.71012,0.038412
0.204,Body_RightArmLower,0.108662,0.932499,0.498026,-0.513053,-0.5068,-0.677226,-0.145931
0.204,Hand_Pinky2,0.095447,0.954506,0.514799,-0.338339,-0.582398,-0.663565,-0.325609
0.204,Body_LeftHandPalm,0.084113,0.971257,0.516213,-0.290405,-0.606357,-0.596612,-0.438235
0.204,Hand_ThumbTip,0.10302,1.017007,0.503908,-0.325925,-0.814152,0.125969,0.463747
0.204,Hand_IndexTip,0.101617,1.021217,0.509304,-0.080504,-0.748967,-0.559805,-0.345233
0.204,Hand_MiddleTip,0.087301,1.016726,0.516154,-0.117643,-0.716224,-0.565853,-0.391144
0.204,Body_LeftHandThumbDistal,0.078126,1.007447,0.514421,-0.174229,-0.688569,-0.540933,-0.450453
