Timestamp, Joint, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
0.166,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.166,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.166,Body_SpineLower,-0.019813,-0.011406,-0.010363,-0.124733,0.818233,-0.440388,0.347843
0.166,Hand_Thumb1,-0.037647,-0.023931,-0.021633,-0.206947,0.548613,-0.702977,0.402518
0.166,Body_SpineUpper,-0.056594,-0.049384,-0.026470,-0.231660,0.614205,-0.692992,0.298075
0.166,Body_Chest,-0.080447,-0.072660,-0.027974,-0.231350,0.541133,-0.716799,0.373966
0.166,Body_Neck,-0.094770,-0.007223,-0.023250,-0.301923,0.951523,-0.025885,-0.052699
0.166,Body_Head,-0.125178,-0.028634,-0.018909,-0.591540,0.803482,0.017847,-0.064647
0.166,Body_LeftShoulder,-0.132179,-0.051497,-0.016924,-0.697843,0.710034,0.026530,-0.090353
0.166,Body_LeftScapula,-0.094425,-0.002511,-0.001704,-0.374956,0.924764,0.028207,-0.058512
0.166,Body_LeftArmUpper,-0.124597,-0.032040,0.001986,-0.804977,0.588238,0.067599,-0.037676
0.166,Body_LeftArmLower,-0.116470,-0.057935,0.000232,-0.931246,0.335749,0.125221,-0.066128
0.166,Hand_Ring1,-0.087561,-0.006446,0.017242,-0.373805,0.919721,0.083629,-0.085958
0.166,Body_RightShoulder,-0.114731,-0.033470,0.020922,-0.779662,0.604681,0.158997,-0.034760
0.166,Hand_Ring3,-0.109008,-0.058496,0.015521,-0.926435,0.320627,0.196203,0.020554
0.166,Hand_Pinky0,-0.033638,-0.009299,0.022705,-0.018312,0.968042,0.207036,-0.140343
0.166,Body_RightArmLower,-0.076901,-0.013516,0.034606,-0.327619,0.923107,0.170393,-0.107268
0.166,Hand_Pinky2,-0.100020,-0.032969,0.037226,-0.682493,0.680103,0.258754,-0.068635
0.166,Body_LeftHandPalm,-0.101203,-0.052296,0.032016,-0.823340,0.481425,0.298575,0.034555
0.166,Hand_ThumbTip,-0.095532,-0.091492,-0.030913,-0.231350,0.541133,-0.716799,0.373966
0.166,Hand_IndexTip,-0.133343,-0.073431,-0.014456,-0.697843,0.710034,0.026530,-0.090353
0.166,Hand_MiddleTip,-0.098752,-0.074603,-0.003897,-0.931246,0.335749,0.125221,-0.066128
0.166,Body_LeftHandThumbDistal,-0.092646,-0.073871,0.006848,-0.926435,0.320627,0.196203,0.020554
0.166,Body_LeftHandThumbTip,-0.094539,-0.069564,0.020733,-0.823340,0.481425,0.298575,0.034555
0.330,Body_Start,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.330,Body_Hips,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.330,Body_SpineLower,-0.019813,-0.011406,-0.010363,-0.123840,0.818321,-0.439974,0.348479
0.330,Hand_Thumb1,-0.037636,-0.023903,-0.021682,-0.207815,0.547922,-0.702111,0.404519
0.330,Body_SpineUpper,-0.056457,-0.049445,-0.026544,-0.231606,0.614028,-0.691756,0.301334
0.330,Body_Chest,-0.080180,-0.072842,-0.028199,-0.230573,0.540968,-0.715244,0.377645
0.330,Body_Neck,-0.094770,-0.007223,-0.023250,-0.302404,0.951466,-0.026405,-0.050667
0.330,Body_Head,-0.125172,-0.028669,-0.019042,-0.598533,0.798451,0.017195,-0.062758
0.330,Body_LeftShoulder,-0.131786,-0.051654,-0.017131,-0.706397,0.701801,0.025612,-0.088442
0.330,Body_LeftScapula,-0.094425,-0.002511,-0.001704,-0.377968,0.923540,0.028374,-0.058393
0.330,Body_LeftArmUpper,-0.124406,-0.032237,0.001958,-0.816951,0.571489,0.068332,-0.036375
